sku;categories;family;name;description
17404815;camcorders,cameras_sales,samsung;camcorders;Samsung NX1000;Samsung NX1000
12026799;laser_led_printers,print_scan_sales,xerox;laser_led_printers;Xerox Phaser 5550;The Xerox Phaser 5550 laser printer combines productivity and reliability with exceptional value. Fast printing, A3, and extensive paper handling and finishing capabilities make this an ideal powerhouse for large offices with diverse, high-volume print demands.\n\n- Fast speeds, up to 50 ppm for both single- and two-sided printing, and as fast as 6.5 seconds to first page, quickly handle your demanding workload\n- Sharp image quality, fine lines and text, fast warm up time, and durable for archiving documents with Xerox EA Toner\n- Show me more on EA Toner ›\n- 1200 x 1200 dpi resolution delivers exceptional print quality without slowing down the Phaser 5550 printer's powerful performance\n- High paper capacity of up to 4,100 sheets allows the Phaser 5550 to print more without interruption\n- Network printing comes standard on all models (except Phaser 5550B) to help more users get more work done\n- 500 MHz processor and up to 1 GB of memory handles even complex multi-page jobs quickly and easily\n- Extensive paper handling with custom sizes from postcard to A3 size give you the flexibility to meet your diverse printing needs\n- Finishing options include a 3,500-sheet stacker or a finisher that stacks, staples, and hole-punches\n- Advanced printing features include collation, booklet making, and edge-to-edge printing\n- Secure Print protects your confidential documents by requiring a password entry at the printer before printing (requires optional hard drive)\n- RAM collation speeds up larger jobs by quickly processing multiple sets of multi-page documents.
15705859;laser_led_printers,lexmark,print_scan_sales;laser_led_printers;Lexmark MS610dn;<b>Power Up Your Business. Print to Impress.</b>\nThe Lexmark MS610dn network-ready laser printer with internal 2-sided printing, 256MB of standard memory, 650-sheet input and a print speed of up to 50 ppm quickly and easily performs tasks.\n\n<b>Print Complex Documents Fast</b>\nPrint documents with graphics and images effortlessly with up to 1.2 GB of upgradable memory, powerful 800 MHz dual-core processor and Gigabit Ethernet.\n\n<b>Get Work Done Quickly</b>\nPrint up to 50 pages per minute–plus get your first page in as little as 6.5 seconds.\n\n<b>Run Jobs without Interruption</b>\nWith an input capacity of up to 2,300 sheets and ultra high yield toner cartridge options, you won’t have to add paper or change cartridges as often.\n\n<b>Innovative Toner That Optimizes Performance</b>\nGet greater system performance with Lexmark's Unison™ Toner, which delivers consistent image quality from first to last print.\n\n<b>Print Anytime and Anywhere</b>\nWith this system, you can print from desktops as well as mobile devices that can run applications.
5866960;canon,print_scan_sales,scanners;scanners;Canon CanoScan LiDE 210;<b>This LiDE scanner features 4800dpi resolution and a stand for upright scanning for ultimate desk space saving. Ease of use is enhanced by Auto Scan Mode and dust and scratch reduction.</b>\n\n<b>Quality, productive scanning</b>\nEffortlessly take care of all your photo and document scanning using a resolution of 4800 x 4800 dpi. With its 48-bit internal colour depth, photographs are captured with an exceptional level of detail. The image sensor and platen are of identical width, ensuring accurate, quality reproduction of all your photos.\n\n<b>A4-scanning is quick, with 300 dpi scans delivered in just 10 seconds.</b>\n\n<b>Compact and stylish</b>\nThe scanner features a ultra compact, stylish design making it a welcome addition to any home. An upright stand ensures it takes up minimal desk space. Whilst the integrated lid design ensures all types of documents – such as books - can be scanned, without compromising the stylish aesthetics.\n\n<b>Easy to use</b>\nThis scanner makes everything easy for you thanks to 5 one-touch operation buttons. An Auto Scan button automatically recognises the type of original and ensures your photos and documents can be scanned with just a simple click. A copy, email and two PDF create buttons make things similarly simple.\n\n<b>Time-saving image enhancements</b>\nDust and scratch removal is available for your photos, allowing you to improve and enhance images. This automatically reduces dust and scratches, as well as helping to restore faded colour from old photos.\nAuto Document Fix is a technology which separately enhances text, graphics and images in scanned documents.\nOther time-saving features include Auto Photo Fix II and Solution Menu EX.\n\n<b>USB powered</b>\nThe scanner is powered and connected using a single USB cable, minimising wires and clutter.
15433433;cameras_sales,devolo,webcams;webcams;Devolo dLAN LiveCam;The dLAN® LiveCam gives you an eye on your home at all times. Ensuring the safety of your house, children or pets – the LiveCam provides the images to you. Even while on holiday or at work: the direct Internet connection and app for Apple iPhone/iPad and Android devices makes individual monitoring possible anywhere in the world. You can set up the dLAN® LiveCam in no time: with devolo's dLAN® Powerline technology, all you need for connection is a power cable – the flexible LiveCam can be used close to any power outlet in the home and simply moved to another one if desired. Video is transmitted securely via the power line.
14942144;avision,print_scan_sales,scanners;scanners;Avision IS15;Insert your photo or business card and start a scan instantly with Avision's palm-sized scanner, the IS15.\nSimply plug a power cable and a memory card or a USB flash drive, the Avision IS15 allows you to digitize your photo or business card without the need to install the scanner driver or connecting it to a computer. The image is automatically saved into a memory card or a removable flash drive with a predefined image mode and resolution.\n\nMeasuring only 18.3 x 7.3 x 4.3 (cm) and weighing a mere 300 grams, the Avision's palm-sized scanner is small enough to pack easily with your laptop and light enough to carry with you to anywhere you need to go.\n\nAvision is pleased to bring you the IS15, a small, feather light standalone scanner that can operate without a PC. Scan photos and save the images with ease to a USB flash drive or a memory card (SD/SDHC) by simply plugging your choice of storage into the device. You will be delighted to find the scanned images appropriately cropped, deskewed and ready for use straight from the IS15.\n\n<b>Compact in size</b>\nThe IS15 measures only 172mm x 70mm x 40.5mm, a compact design that is no bigger than your hand and fits easily in your palm. Weighing a mere 200g, you will forget it was ever in your briefcase.\n\n<b>Big on specs</b>\nThe IS15 has a resolution of 300dpi with an automatic document feeding mechanism. It can handle photos, business cards, receipts, or small memos and notes up to 4 x 6 in size. It's fast, too, with a 4 x 6 photo scanned in color mode at 300dpi completed in less than 10 seconds.\n\n<b>Built-in image processing</b>\nFeaturing advanced deskew and auto-crop functions built into the IS15, scanned images are processed by the hardware automatically and saved as JPG, giving you ideal results every time.\n\n<b>Portable storage</b>\nWhether it's a USB flash drive or a memory card (SD/SDHC), the IS15 gives you the convenience and freedom to choose which media to store your scanned images in.\n\n<b>Bundled software</b>\nScan to PC software is a lightweight utility that allows the IS15 to scan and save to any specified destination on the computer. Users can choose whether to scan to the computer or the memory card, and select the directory for storing scanned images. The“Auto Rotate Images”option rotates the image counterclockwise 90 degrees when selected, useful when scanning landscape oriented photos or documents.
12020918;lenovo,pc_monitors,tvs_projectors_sales;pc_monitors;Lenovo ThinkVision LT1952p;For enterprises that need a green, fully functional display screen, with unparalleled visual quality, the ThinkVision LT1952p is the best choice.Compatible with virtually any hardware platform, the LT1952p offers VGA, DVI-D, and DisplayPort connections. The LT1952p is a breeze to use with exceptional LED performance, swivel, tilt, and lift options, 5 milliseconds response time, and a 1000:1 contrast ratio. The LT1952p delivers high energy cost savings, through compliance with go green certifications. The monitors are mercury-free, contain reduced toxic chemicals. The LT1952p delivers the best value on investment for large enterprises.
1198700;hp,laser_led_printers,print_scan_sales;laser_led_printers;HP LaserJet 9040dn;Are you looking for simple, high-volume, network printing at a reasonable price? This A3 printer is your cost-effective solution for large workgroup and department black-and-white printing. Users and IT managers alike will appreciate its ease and functionality. Expandable paper-handling options enable more efficient workflows and increased flexibility. Maximise resources with remote management. Plus, get a solid, reliable performer with fast print and processor speeds and expandable memory.\n\nABU - United Kingdom - UK English localization
3331490;cameras_sales,logitech,webcams;webcams;Logitech C905;Looking great shouldn’t be hard work, even on the road. The Logitech® 2 MP Portable Webcam C905 makes it easy to get razor-sharp, true-to-life widescreen video and up to 8-megapixel HD quality snapshots wherever you’re heading.\n\n<b>Image is everything.</b>\n- Zeiss® optics with autofocus: Offer razor-sharp images even in extreme close-ups.\n- 2-megapixel sensor: Delivers fluid, true-to-life video and lets you take snapshots at up to 8-megapixels.\n- HD video recording: Offers detailed, 16x9 widescreen video at 720 p.\n- Logitech® RightLight™ 2 technology: Intelligently adjusts for the best possible images, even in dim or backlit settings.\n\n<b>Show off your spontaneous side.</b>\n- Logitech® Video Effects™: Let you personalize your conversations. Choose from hundreds of avatars, face accessories, and masks that mirror expressions and motion.\n- Notebook Clip: Optimized for notebooks, attaches securely to your monitor for when you are on the go.\n\n<b>Speak freely and clearly.</b>\n- Built-in microphone with Logitech® RightSound™ technology: Offers clear, headset-free conversations without annoying background noise.\n\n<b>Get started right away.</b>\n- Includes Logitech® Vid™: Now video calling is free, fast, and easy for you and anyone you want to talk to. It’s built into your webcam setup, so you’re ready to call right away. And your friends get set up simply by clicking a link in an e-mail. No screen names. No hassles. Just smiling faces waiting to say "hi."\n- Universal clip: Attaches securely to LCD or CRT monitors and notebooks, or sits on a shelf or desk.
8955165;camcorders,cameras_sales,philips;camcorders;Philips CAM110RD;Capturing and sharing great moments — made easy\n\nWith Advanced Anti-Shake\n\nMake amazing videos in full HD, and perfect them with the ESee camcorder's superb anti-shake technology. Dual format recording offers both HD and email-friendly formats, letting you share videos on TV up to 4 times faster.\n\nTake quick and easy videos in full HD quality\n\n- Relive memories in great detail with full HD videos\n- Up to 10 megapixel resolution for high quality photos\n- Flash, auto focus, red-eye removal, face and smile detection\n- Shoot clearer and steadier videos with advanced anti-shake\n\nShare your favourite photos and videos effortlessly\n\n- Integrated USB plug for no-fuss connection to your PC/Mac\n- Dual format recording for full HD and email-friendly formats\n- Instant video editor for simple editing on the camcorder\n- Quick sharing for emailing and posting on Facebook/YouTube\n- Direct TV connection via HDMI for viewing your videos in HD\n\nBring it with you anywhere\n\n- Small and slim design to fit easily into your pocket\n- Built-in battery for convenient recharging via USB\n- Extra long battery life lets you shoot more
15751164;audio_video_sales,mp3_players,spcinternet;mp3_players;SPCinternet 8150N MP3 player & recorder;SPCinternet 8150N. Player media type: flash-media. Display: LCD. Audio formats supported: MP3, WMA. Headphone connectivity: 3.5 mm. Supported radio bands: FM
14120655;laser_led_printers,lexmark,print_scan_sales;laser_led_printers;Lexmark C746n;<b>Intuitive navigation</b>\nThe 2.4-inch (6-cm) LCD is easy to read and the colour graphics make navigation and troubleshooting intuitive.\n\n<b>Corporate colour matching</b>\nMatch corporate colours on marketing collateral and brand-sensitive text and graphics with Lexmark Named Color Replacement and PANTONE® calibration.\n\n<b>Use less energy</b>\nThe instant warm-up fuser reduces energy consumption and delivers a time to first page as fast as 9 seconds in both black and colour.\n\n<b>Multiple media support</b>\nExpand input capacity with optional paper trays that let you load multiple paper types and boost total input capacity up to 4,300 sheets.\n\n<b>Eco-friendly printing</b>\nPrint responsibly with Eco-Settings that let you customise print settings and Hibernate Mode which reduces energy consumption to less than one watt.\n\n<b>High-speed processing</b>\nThe high-speed processor and Gigabit Ethernet networking mean fast data transfer and fast processing, even on complex colour documents.
12797595;audio_video_sales,mp3_players,sony;mp3_players;Sony Walkman NWZ-B172;Sony NWZ-B172, Walkman. Player media type: flash-media. Display: LCD. Audio formats supported: MP3, WMA. Headphone connectivity: 3.5 mm. Interface: USB 2.0
12249736;avision,print_scan_sales,scanners;scanners;Avision AV-220C2M+;Avision's popular 220 series has a new addition – the AV220C2M+. With the same outstanding speeds, reliability and capacity as the rest of the series, the AV220C2M+ has a special new feature: a detachable magnetic ink character recognition endorser module.\n\nThis is perfect for endorsing cheques and other official documents, making light work of record-keeping, indexing and retrieval. Choose from applying the endorsement digitally or by printing it on the back of the originals/copies. Bundled software with the AV220C2M+ also means you can output scans as searchable PDFs - making information retrieval and distribution as easy as pie.\n\nAvision AV220C2M+ Features:\n\n- Detachable endorser / magnetic ink character recognition (MICR) module enables endorsement of scanned documents, digitally or printed on their reverse.\n- Ideal for endorsing cheques and other official documents, making record-keeping, retrieval and indexing easy.\n- Scan rate up to 36 pages / 72 images per minute (simplex / duplex modes, B&W or colour at 200 dpi)\n- Auto document feed holds up to 50 pages.
17727612;audio_video_sales,mp3_players,philips;mp3_players;Philips SA4DOT02BN SoundDot 2GB* MP3 player;Philips SA4DOT02BN SoundDot 2GB* MP3 player. WMA bit rates: 5 - 320. Weight: 0.019. Dimensions (WxDxH): 42.3 x 19 x 57
11702466;pc_monitors,tvs_projectors_sales,viewsonic;pc_monitors;Viewsonic Value Series VA2231WMA-LED;The ViewSonic® VA2231wma-LED LCD is ideal for both home and office with its fast response time and piano black finish VESA® mountable design. Environmentally friendly mercury-free VA2231wma-LED offers full HD 1920x1080 resolution, 10,000,000:1 MEGA dynamic contrast ratio and analog inputs, integrated stereo speakers and Eco-mode for power savings! It has an automatic aspect ratio adjustment so when your input is a 4:3 signal, the image will not be stretched but instead it will be positioned in the middle of the screen with side bars. Industry’s best pixel performance policy, Windows 7 certification, Energy Star 5.0 and TCO 5.0 certified, make the VA2231wma-LED the best choice for both corporate and education customers as well.\n\n<b>Eco-mode automatically reduces power consumption and can extend backlight life and reduce operating power consumption by up to 70%</b>\n\n<b>High brightness and 10,000,000 DCR to reflect the true colour</b>\n250 nits high brightness delivers precise accurate colour to realistically display a full array of brilliant shades and hues.\n\n<b>Impressive 10,000,000:1 dynamic contrast ratio provides greater detail and definition</b>\nProvides darker black levels and better overall front-ofscreen performance.\n\n<b>Performance HD 1080p pour un affichage HD inégalé</b>\n\n<b>Ultra-Slim Bezel</b>\nThe ultra-slim bezel makes more productive use of the screen area while minimizing the image gap in multi display applications for continuous data display which enhances the visual experience with clean, minimalist borders around the active image area.
1231611;audio_video_sales,logitech,loudspeakers;loudspeakers;Logitech G51 Surround Sound Speaker System;Performance\nMatrix mode: Turn on Matrix mode to create 5.1 surround sound from 2-channel stereo sound sources such as music or legacy games. Music Matrix mode delivers a natural audio profile, while Gaming Matrix mode boosts the subwoofer and rear satellites for a more intense gaming experience. \nFDD2™ sound technology: FDD2 technology produces a uniform soundfield anywhere in the room. FDD2 eliminates the hot spots and uneven response of conventional dual-driver design. \nHigh-performance audio: 155 watts of total RMS power. \n\nConvenience and Control\nDual precision mute: Mute just the audio output when you need to hear what's going on around you. Mute only the microphone when you don't want to be overheard. \nWeighted, non-skid control pod: Enjoy quick and convenient access to your audio controls. \nRotating stands: Mount your satellite speakers on the wall. \nCentre-channel clip: Secure the centre-channel speaker to the top of your LCD monitor. \n\nCustomisation\nSatellite speaker skins: Personalise your speakers with custom speaker skins and a patent-pending mod system.
100121;laser_led_printers,oki,print_scan_sales;laser_led_printers;OKI B4100 Desktop printer;It’s a fast, quiet, quality desktop printer for the finance conscious user. \nOffering excellent print and processing speed for your money, the new B4100 is the consummate mono printer for the individual business user. Compact (A4), stylish and robust, it boasts class-leading features including 18 pages per minute (ppm), high 8MB RAM memory and fast first page to print at under 6.2 seconds. Ideal for the Personal Desktop where high quality documents such as report and point of service material are required.\n•  18 Pages per minute print speed  \n•  6.2 seconds to first page for instant customer documents  \n•  Oki reliability for years of trouble-free service  \n•  Low cost consumables reduce the cost of ownership  \n•  Compatible with all major computer operating systems  \n•  Flexible upgrade options for now and in the future  \n•  Ideal for personal desktop where high quality documents such as reports and point-of-service material are required.
19593847;camcorders,cameras_sales,canon;camcorders;Canon LEGRIA Mini;<b>Your audience is waiting - put yourself in the frame</b>\n\nGet ready to express yourself in new ways. Offering a unique combination of ultra-wide angle lens, vari-angle LCD and built-in stand, the LEGRIA mini with Wi-Fi lets you showcase your passions and interests from a new perspective.\n\n- Express your interests with a new perspective. An Ultra-Wide angle lens ensures you will capture the entire moment every time.\n- Frame yourself effortlessly and enjoy a variety of shooting angles with the Vari-angle LCD and built-in stand.\n- Switch between ultra-wide and close-up. Depending on the scene you’re shooting, change the field of view by touching the screen.\n- Share content with built-in Wi-Fi and operate your LEGRIA mini with live streaming remote control from a smartphone or tablet.\n- Capture stunning Full-HD movies and still photos with a high-sensitivity CMOS sensor and DIGIC DV4 processing power.
13354736;led_tvs,philips,tvs_projectors_sales;led_tvs;Philips 32PFL4007H;<b>Relax and enjoy a great TV night with Full HD LED and Smart TV</b>\nRelax and enjoy a great TV night in brilliant LED quality on the Philips 32PFL4007 Full HD LED TV. Powered by the Pixel Plus HD engine, you can enjoy a world of content with Smart TV Plus in clear, vivid details.\n\n<b>Enjoy a world of content with Smart TV Plus</b>\n- Easy wireless connection with optional wireless USB adaptor\n- A wealth of online apps, videos to rent and catch-up TV\n- Control the TV with your smart phone, tablet or keyboard\n- With DLNA, enjoy photos, music and movies on your TV\n- Find, schedule, record & pause TV\n- Enjoy video calls on your TV and be close to your loved ones\n\n<b>A clear, vivid picture everytime</b>\n- Full HD TV with Pixel Plus HD for better details and clarity\n- Brilliant LED images with incredible contrast\n- 200Hz Perfect Motion Rate (PMR) for superb motion sharpness\n\n<b>Complete digital connectivity made simple</b>\n- 3 USB slots for fantastic multimedia playback\n- PC input allows you to use your TV as a PC monitor\n- Seamless connectivity with 4 HDMI inputs and Easylink
10598481;pc_monitors,philips,tvs_projectors_sales;pc_monitors;Philips 201BL2CB;<b>Ergonomic business display enhances productivity</b>\n\nWith features like Ergo base, Stereo Audio, USB port, 0.1watt Soft off mode, SmartImage\nand SmartControl, the energy efficient Philips 201B2 Business LED display enhances your\nproductivity\n\n<b>Sustainable Eco-friendly solution</b>\n\n- EPEAT Gold ensures lowest impact on environment\n- Energy Star for energy efficiency and low power consumption\n- SmartPower: Up to 50% power saving\n- 0.1 watt Soft-Off mode\n\n<b>Ergonomic design</b>\n\n- 70mm height adjustment for ideal sitting position\n- Tilt and swivel adjustment for an ideal viewing angle\n\n<b>Outstanding display performance</b>\n\n- LED technology ensures natural colors\n- SmartImage: Optimized user friendly display experience\n\n<b>Great convenience</b>\n\n- Modern Touch controls\n- Built in stereo audio for multimedia experience\n- USB port for convenient peripheral connections
